"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"ADANIGAS","Adani Gas Limited",226.6,224,"30-Oct-2020",219.95,"220.5",-0.55,-0.2494331065759637
"ADANIGREEN","Adani Green Energy Limited",899.2,856.4,"30-Oct-2020",859,"856.4",2.6,0.3035964502568893
"BAFNAPH","Bafna Pharmaceuticals Limited",121.15,115.4,"30-Oct-2020",121.15,"115.4",5.75,4.982668977469671
"BANKA","Banka BioLoo Limited",38.25,36.45,"30-Oct-2020",38.25,"36.45",1.8,4.938271604938271
"BLUEDART","Blue Dart Express Limited",3920,3789.9,"30-Oct-2020",3845,"3696.3",148.7,4.0229418607796985
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited",337.45,330.8,"28-Oct-2020",327.8,"321.4",6.4,1.9912881144990666
"CGCL","Capri Global Capital Limited",254.8,252,"21-Sep-2020",249.5,"248.2",1.3,0.523771152296535
"CGPOWER","CG Power and Industrial Solutions Limited",32.7,31.4,"30-Oct-2020",31,"31.4",-0.4,-1.2738853503184713
"CRISIL","CRISIL Limited",2124,2123.9,"30-Oct-2020",2053,"2064.8",-4.8,-0.233258820099135
"EQUITASBNK","Equitas Small Finance Bank Limited",33.15,0,"-",33.05,"33",1.95,6.270096463022508
"GREENPANEL","Greenpanel Industries Limited",77,73.35,"30-Oct-2020",77,"73.35",3.65,4.976141785957737
"GUFICBIO","Gufic Biosciences Limited",109.15,105.95,"30-Oct-2020",107.8,"102.3",5.5,5.376344086021505
"HAVELLS","Havells India Limited",790,741,"30-Oct-2020",778.55,"727.9",50.65,6.958373402939964
"JETAIRWAYS","Jet Airways (India) Limited",68.5,65.25,"30-Oct-2020",68.5,"65.25",3.25,4.980842911877395
"KHAICHEM","Khaitan Chemicals & Fertilizers Limited",26.2,24.3,"30-Oct-2020",22.65,"23.85",-1.2,-5.031446540880503
"KOPRAN","Kopran Limited",136.95,130.95,"22-Oct-2020",134.9,"130.45",4.45,3.411268685320046
"MOLDTEK-RE","Mold-Tek Packaging Limited - Rights Entitlement",318.35,227.4,"30-Oct-2020",318.35,"227.4",90.95,39.99560246262093
"PIIND","PI Industries Limited",2263,2239,"30-Oct-2020",2235,"2197.2",37.8,1.720371381758602
"RESPONIND","Responsive Industries Limited",155,150.45,"30-Oct-2020",154,"145",9,6.206896551724138
"ROUTE","ROUTE MOBILE LIMITED",1096.9,1012.9,"30-Oct-2020",1096.9,"997.2",99.7,9.997994384275973
"SHRADHA","Shradha Infraprojects Limited",49.6,47.3,"30-Oct-2020",49.6,"47.3",2.3,4.862579281183932
"SOUTHWEST","South West Pinnacle Exploration Limited",42.75,41,"30-Oct-2020",42.75,"40.8",1.95,4.779411764705882
"SUULD","Suumaya Lifestyle Limited",101.15,96.35,"30-Oct-2020",101,"96.35",4.65,4.826154644525169
"TANLA","Tanla Solutions Limited",341.3,325.55,"30-Oct-2020",341.3,"325.05",16.25,4.99923088755576
"VERTOZ","Vertoz Advertising Limited",178.95,176,"30-Oct-2020",168.6,"174.7",-6.1,-3.4917000572409846